Province/State,Country name,Lat,Long,12/31/2022
Tibet,China,31.6927,88.0924,0
Unknown,China,,,0
Xinjiang,China,41.1129,85.2401,3
Yunnan,China,24.974,101.487,2
Zhejiang,China,29.1832,120.0934,1
,Colombia,4.5709,-74.2973,141881
,Comoros,-11.6455,43.3333,161
,Congo (Brazzaville),-0.228,15.8277,386
,Congo (Kinshasa),-4.0383,21.7587,1462
,Costa Rica,9.7489,-83.7534,9072
,Cote d'Ivoire,7.54,-5.5471,831
,Croatia,45.1,15.2,17596
,Cuba,21.521757,-77.781167,8530
,Cyprus,35.1264,33.4299,1258
,Czechia,49.8175,15.473,42131
Faroe Islands,Denmark,61.8926,-6.9118,28
Greenland,Denmark,71.7069,-42.6043,21
,Denmark,56.2639,9.5018,7758
,Diamond Princess,0,0,13
,Djibouti,11.8251,42.5903,189
,Dominica,15.415,-61.371,74
,Dominican Republic,18.7357,-70.1627,4384
,Ecuador,-1.8312,-78.1834,35940
,Egypt,26.820553,30.802498,24801
,El Salvador,13.7942,-88.8965,4230
,Equatorial Guinea,1.6508,10.2679,183
,Eritrea,15.1794,39.7823,103
,Estonia,58.5953,25.0136,2854
,Eswatini,-26.5225,31.4659,1422
,Ethiopia,9.145,40.4897,7572
,Fiji,-17.7134,178.065,881
,Finland,61.92411,25.748151,7933
French Guiana,France,3.9339,-53.1258,411
French Polynesia,France,-17.6797,149.4068,649
Guadeloupe,France,16.265,-61.551,997
Martinique,France,14.6415,-61.0242,1076
Mayotte,France,-12.8275,45.166244,187
New Caledonia,France,-20.904305,165.618042,314
Reunion,France,-21.1151,55.5364,906
Saint Barthelemy,France,17.9,-62.8333,6
Saint Pierre and Miquelon,France,46.8852,-56.3159,2
St Martin,France,18.0708,-63.0501,63
Wallis and Futuna,France,-14.2938,-178.1165,7
,France,46.2276,2.2137,158385
,Gabon,-0.8037,11.6094,306
,Gambia,13.4432,-15.3101,372
,Georgia,42.3154,43.3569,16897
,Germany,51.165691,10.451526,161465
,Ghana,7.9465,-1.0232,1461
,Greece,39.0742,21.8243,34779
,Grenada,12.1165,-61.679,238
,Guatemala,15.7835,-90.2308,20001
,Guinea,9.9456,-9.6966,466
,Guinea-Bissau,11.8037,-15.1804,176
,Guyana,4.860416,-58.93018,1286
,Haiti,18.9712,-72.2852,860
,Holy See,41.9029,12.4534,0
,Honduras,15.2,-86.2419,11071
,Hungary,47.1625,19.5033,48495
,Iceland,64.9631,-19.0208,229
,India,20.593684,78.96288,530705
,Indonesia,-0.7893,113.9213,160612
,Iran,32.427908,53.688046,144685
,Iraq,33.223191,43.679291,25373
,Ireland,53.1424,-7.6921,8293
,Israel,31.046051,34.851612,12037
,Italy,41.87194,12.56738,184642
,Jamaica,18.1096,-77.2975,3461
,Japan,36.204824,138.252924,57274
,Jordan,31.24,36.51,14122
,Kazakhstan,48.0196,66.9237,19057
,Kenya,-0.0236,37.9062,5688
,Kiribati,-3.3704,-168.734,13
,"Korea, North",40.3399,127.5101,6
,"Korea, South",35.907757,127.766922,32219
,Kosovo,42.602636,20.902977,3202
,Kuwait,29.31166,47.481766,2570
,Kyrgyzstan,41.20438,74.766098,2991
,Laos,19.85627,102.495496,758
,Latvia,56.8796,24.6032,6161
,Lebanon,33.8547,35.8623,10746
,Lesotho,-29.61,28.2336,706
,Liberia,6.428055,-9.429499,294
,Libya,26.3351,17.228331,6437
,Liechtenstein,47.14,9.55,88
,Lithuania,55.1694,23.8813,9481
,Luxembourg,49.8153,6.1296,1178
,MS Zaandam,0,0,2
,Madagascar,-18.766947,46.869107,1416
,Malawi,-13.2543,34.3015,2685
,Malaysia,4.210484,101.975766,36853
,Maldives,3.2028,73.2207,311
,Mali,17.570692,-3.996166,743
,Malta,35.9375,14.3754,815
,Marshall Islands,7.1315,171.1845,17
,Mauritania,21.0079,-10.9408,997
,Mauritius,-20.348404,57.552152,1041
,Mexico,23.6345,-102.5528,331099
,Micronesia,7.4256,150.5508,58
,Moldova,47.4116,28.3699,11933
,Monaco,43.7333,7.4167,65
,Mongolia,46.8625,103.8467,2136
,Montenegro,42.708678,19.37439,2791
,Morocco,31.7917,-7.0926,16294
,Mozambique,-18.665695,35.529562,2230
,Namibia,-22.9576,18.4904,4082
,Nauru,-0.5228,166.9315,1
,Nepal,28.1667,84.25,12019
Aruba,Netherlands,12.5211,-69.9683,280
"Bonaire, Sint Eustatius and Saba",Netherlands,12.1784,-68.2385,39
Curacao,Netherlands,12.1696,-68.99,299
Sint Maarten,Netherlands,18.0425,-63.0548,89
,Netherlands,52.1326,5.2913,22990
Cook Islands,New Zealand,-21.2367,-159.7777,1
Niue,New Zealand,-19.0544,-169.8672,0
,New Zealand,-40.9006,174.886,2331
,Nicaragua,12.865416,-85.207229,245
,Niger,17.607789,8.081666,314
,Nigeria,9.082,8.6753,3155
,North Macedonia,41.6086,21.7453,9614
,Norway,60.472,8.4689,4670
,Oman,21.512583,55.923255,4628
,Pakistan,30.3753,69.3451,30636
,Palau,7.515,134.5825,9
,Panama,8.538,-80.7821,8567
,Papua New Guinea,-6.314993,143.95555,669
,Paraguay,-23.4425,-58.4438,19688
,Peru,-9.19,-75.0152,218232
,Philippines,12.879721,121.774017,65385
,Poland,51.9194,19.1451,118533
,Portugal,39.3999,-8.2245,25714
,Qatar,25.3548,51.1839,685
,Romania,45.9432,24.9668,67374
,Russia,61.52401,105.318756,385789
,Rwanda,-1.9403,29.8739,1467
,Saint Kitts and Nevis,17.357822,-62.782998,46
,Saint Lucia,13.9094,-60.9789,409
,Saint Vincent and the Grenadines,12.9843,-61.2872,119
,Samoa,-13.759,-172.1046,29
,San Marino,43.9424,12.4578,121
,Sao Tome and Principe,0.1864,6.6131,77
,Saudi Arabia,23.885942,45.079162,9518
,Senegal,14.4974,-14.4524,1968
,Serbia,44.0165,21.0059,17519
,Seychelles,-4.6796,55.492,172
,Sierra Leone,8.460555,-11.779889,126
,Singapore,1.2833,103.8333,1711
,Slovakia,48.669,19.699,20823
,Slovenia,46.1512,14.9955,7008
,Solomon Islands,-9.6457,160.1562,153
,Somalia,5.152149,46.199616,1361
,South Africa,-30.5595,22.9375,102568
,South Sudan,6.877,31.307,138
,Spain,40.463667,-3.74922,117095
,Sri Lanka,7.873054,80.771797,16817
,Sudan,12.8628,30.2176,4994
,Summer Olympics 2020,35.6491,139.7737,0
,Suriname,3.9193,-56.0278,1393
,Sweden,60.128161,18.643501,21827
,Switzerland,46.8182,8.2275,14173
,Syria,34.802075,38.996815,3163
,Taiwan*,23.7,121,15253
,Tajikistan,38.861,71.2761,125
,Tanzania,-6.369028,34.888822,845
,Thailand,15.870032,100.992541,33594
,Timor-Leste,-8.874217,125.727539,138
,Togo,8.6195,0.8248,290
,Tonga,-21.179,-175.1982,12
,Trinidad and Tobago,10.6918,-61.2225,4283
,Tunisia,33.886917,9.537499,29284
,Turkey,38.9637,35.2433,101203
,Tuvalu,-7.1095,177.6493,0
,US,40,-100,1092764
,Uganda,1.373333,32.290275,3630
,Ukraine,48.3794,31.1656,118689
,United Arab Emirates,23.424076,53.847818,2348
Anguilla,United Kingdom,18.2206,-63.0686,12
Bermuda,United Kingdom,32.3078,-64.7505,153
British Virgin Islands,United Kingdom,18.4207,-64.64,64
Cayman Islands,United Kingdom,19.3133,-81.2546,37
Channel Islands,United Kingdom,49.3723,-2.3644,0
Falkland Islands (Malvinas),United Kingdom,-51.7963,-59.5236,0
Gibraltar,United Kingdom,36.1408,-5.3536,110
Guernsey,United Kingdom,49.448196,-2.58949,66
Isle of Man,United Kingdom,54.2361,-4.5481,116
Jersey,United Kingdom,49.2138,-2.1358,146
Montserrat,United Kingdom,16.742498,-62.187366,8
Pitcairn Islands,United Kingdom,-24.3768,-128.3242,0
"Saint Helena, Ascension and Tristan da Cunha",United Kingdom,-7.9467,-14.3559,0
Turks and Caicos Islands,United Kingdom,21.694,-71.7979,36
,United Kingdom,55.3781,-3.436,216306
,Uruguay,-32.5228,-55.7658,7562
,Uzbekistan,41.377491,64.585262,1637
,Vanuatu,-15.3767,166.9592,14
,Venezuela,6.4238,-66.5897,5832
,Vietnam,14.058324,108.277199,43186
,West Bank and Gaza,31.9522,35.2332,5708
,Winter Olympics 2022,39.9042,116.4074,0
,Yemen,15.552727,48.516388,2159
,Zambia,-13.133897,27.849332,4024
,Zimbabwe,-19.015438,29.154857,5637
